Name,Population,Violent,Murder,Rape,Robbery,Assault,Property,Burglary,Larceny,Motor
New York,8473938,50564,333,2190,16581,31460,135747,15916,112107,7724
Los Angeles,3906772,19171,260,1126,7949,9836,83139,15070,54281,13788
Chicago,2724121,24089,411,1343,9804,12531,85161,14537,60601,10023
Houston,2219933,22008,242,812,10186,10768,104197,21629,68125,14443
Philadelphia,1559062,15925,248,1207,6970,7500,52816,9694,37394,5728
Las Vegas Metropolitan Police Department,1530899,12876,122,780,4885,7089,44754,14150,23432,7172
Phoenix,1529852,8749,114,1006,2952,4677,56977,14316,35461,7200
San Antonio,1428465,7704,103,1077,1777,4747,77392,12344,57908,7140
San Diego,1368690,5214,32,371,1318,3493,26812,5115,16691,5006
Dallas,1272396,8457,116,781,3856,3704,45669,11685,26939,7045
San Jose,1009679,3242,32,306,1072,1832,24577,5167,11850,7560
Austin,903924,3581,32,571,873,2105,37444,5733,29423,2288
Indianapolis,858238,10768,136,573,3808,6251,41394,12125,24090,5179
Charlotte-Mecklenburg,856916,5054,47,210,1586,3211,30565,6031,22827,1707
Jacksonville,856021,5853,96,479,1419,3859,33732,6806,24945,1981
San Francisco,850294,6761,45,355,3224,3137,45093,5237,33730,6126
Columbus,830811,4563,83,738,2098,1644,35334,9066,23328,2940
Detroit,684694,13616,298,557,3570,9191,32983,9177,13723,10083
El Paso,680273,2671,21,335,415,1900,14570,1579,12170,821
Louisville Metro,677710,4005,56,184,1531,2234,28364,6417,19669,2278
Denver,665353,3983,31,448,1091,2413,22352,4555,14363,3434
Seattle,663410,4001,26,154,1567,2254,40649,7099,28036,5514
Washington,658893,7810,105,470,3231,4004,33027,3463,25881,3683
Memphis,654922,11399,140,501,3285,7473,39217,11451,24791,2975
Boston,654413,4749,53,280,1680,2736,17269,2680,13077,1512
Nashville,647689,7270,41,487,1523,5219,23515,4756,17622,1137
Baltimore,623513,8346,211,245,3677,4213,29420,6926,18008,4486
Oklahoma City,617975,4782,45,434,1126,3177,27258,6638,17111,3509
Portland,615672,2911,26,262,847,1776,32229,4146,24707,3376
Milwaukee,600374,8864,90,395,3520,4859,27499,5929,14917,6653
Albuquerque,558874,4934,30,402,1381,3121,30437,6123,20756,3558
Fresno,513187,2382,47,53,781,1501,21101,4721,13277,3103
Sacramento,482767,2968,28,78,1000,1862,15078,3238,9443,2397
Long Beach,471123,2304,23,110,889,1282,12438,3482,6875,2081
Kansas City,468417,5862,78,390,1625,3769,22648,5659,13037,3952
Mesa,462092,2119,13,252,469,1385,12940,2358,9744,838
Atlanta,454363,5577,93,151,2329,3004,26114,5470,16498,4146
Virginia Beach,451102,660,17,107,252,284,9811,1050,8396,365
Colorado Springs,444949,2039,20,412,404,1203,16319,2759,11914,1646
Omaha,438465,2458,32,180,723,1523,19053,2997,12910,3146
Miami,421996,4473,81,110,1790,2492,20394,3659,14514,2221
Oakland,409994,6910,80,209,3481,3140,24367,4006,13842,6519
Minneapolis,404461,4093,31,389,1871,1802,19123,4112,13480,1531
Tulsa,399556,3217,46,313,920,1938,20304,5500,12494,2310
Cleveland,388655,5186,63,482,2990,1651,21121,6948,10335,3838
New Orleans,387113,3770,150,244,1470,1906,16382,3458,10309,2615
Arlington,382976,1854,13,206,493,1142,13462,2470,10086,906
Bakersfield,367406,1678,17,21,660,980,14595,4065,8247,2283
Tampa,357124,2080,28,62,514,1476,8670,1820,6355,495
Aurora,350948,1448,11,274,417,746,9962,1816,7082,1064
Anaheim,346956,1101,14,79,418,590,8196,1301,5620,1275
Santa Ana,336462,1260,18,115,452,675,5784,793,3685,1306
Riverside,319453,1384,12,143,441,788,9864,1531,6794,1539
Corpus Christi,319211,2094,27,280,377,1410,14110,2316,11233,561
St. Louis,318574,5348,159,279,1562,3348,19919,4209,12463,3247
Lexington,311848,1041,20,134,554,333,12134,2393,8816,925
Pittsburgh,307613,2455,69,91,986,1309,9883,2129,7157,597
Anchorage,301306,2605,12,392,496,1705,11531,1375,9217,939
Stockton,299519,3988,49,134,1098,2707,13148,3124,8082,1942
St. Paul,297984,1974,11,181,654,1128,10383,2330,6045,2008
Cincinnati,297671,2695,60,228,1356,1051,16557,4820,10639,1098
Greensboro,282203,1346,23,52,487,784,10160,2508,7119,533
Newark,279110,3008,93,49,1922,944,7958,1736,3810,2412
Plano,277822,459,4,80,156,219,5486,824,4369,293
Henderson,274121,452,3,89,165,195,5423,1397,3531,495
Lincoln,271208,918,7,152,205,554,9082,1305,7452,325
Jersey City,260005,1381,24,35,620,702,4240,887,2804,549
Chula Vista,259894,612,7,40,214,351,4524,613,3091,820
Orlando,259675,2340,15,167,620,1538,16515,3342,12182,991
Buffalo,258419,3174,60,174,1277,1663,12449,3119,8362,968
Fort Wayne,257172,816,12,104,347,353,8352,1765,6223,364
Chandler,252369,466,1,60,111,294,5643,954,4461,228
Laredo,250994,976,14,99,196,667,9687,1267,8144,276
St. Petersburg,250772,2169,19,154,619,1377,14150,2612,10139,1399
Mobile,250655,1488,31,136,428,893,11603,2847,8225,531
Durham,249738,1834,21,73,654,1086,11085,3652,6853,580
Norfolk,247078,1280,31,122,392,735,9679,1312,7864,503
Madison,245788,846,7,83,226,530,6978,1129,5603,246
Irvine,242971,120,0,28,36,56,3045,575,2344,126
Lubbock,241826,2084,12,128,333,1611,10617,2288,7563,766
Winston-Salem,238082,1696,13,77,428,1178,12896,3724,8467,705
Savannah-Chatham Metropolitan,236682,927,32,65,459,371,8507,1681,6071,755
Garland,236414,644,5,96,312,231,7695,1527,5431,737
Hialeah,235446,782,6,44,255,477,6536,723,5140,673
Gilbert,235430,209,0,27,41,141,3473,580,2766,127
Reno,235055,1147,15,128,263,741,6798,1312,4711,775
Chesapeake,232489,991,10,63,179,739,6391,1008,5094,289
Irving,231708,512,5,36,175,296,6291,1043,4676,572
North Las Vegas,229436,1782,12,82,458,1230,5508,2019,2623,866
Baton Rouge,229387,2120,53,73,852,1142,10270,2772,6986,512
Fremont,227575,284,1,20,119,144,3910,899,2417,594
Richmond,216747,1254,41,39,569,605,8388,1685,5969,734
Boise,216260,641,4,123,57,457,4511,693,3626,192
San Bernardino,214588,2128,43,104,811,1170,9239,2370,4405,2464
Birmingham,212115,3369,52,182,1051,2084,13929,3750,8743,1436
Spokane,211025,1156,10,117,416,613,18062,3365,12455,2242
Rochester,210347,1765,27,190,698,850,8856,2125,6058,673
